Incident Number,Close Code
24016338,    
24016892,    
24182743,    
24225091,    
24020390, REL
24019668,ABAN
24045299,ABAN
24113982,ABAN
24135801,ABAN
24169183,ABAN
24247406,ABAN
24009071,ACC 
24012988,ACC 
24015354,ACC 
24033087,ACC 
24040501,ACC 
24043037,ACC 
24045170,ACC 
24053844,ACC 
24066558,ACC 
24070287,ACC 
24080834,ACC 
24083536,ACC 
24085648,ACC 
24092058,ACC 
24094025,ACC 
24099422,ACC 
24104689,ACC 
24105494,ACC 
24106432,ACC 
24109241,ACC 
24116636,ACC 
24139950,ACC 
24139975,ACC 
24141123,ACC 
24145017,ACC 
24145103,ACC 
24146269,ACC 
24152619,ACC 
24152859,ACC 
24153081,ACC 
24158095,ACC 
24159358,ACC 
24159388,ACC 
24159658,ACC 
24161313,ACC 
24165162,ACC 
24165477,ACC 
24166322,ACC 
24167388,ACC 
24169670,ACC 
24173686,ACC 
24174567,ACC 
24174652,ACC 
24174709,ACC 
24174727,ACC 
24175563,ACC 
24179625,ACC 
24180519,ACC 
24180636,ACC 
24180656,ACC 
24180688,ACC 
24180699,ACC 
24181415,ACC 
24181485,ACC 
24182710,ACC 
24187011,ACC 
24187808,ACC 
24188038,ACC 
24189007,ACC 
24189565,ACC 
24189766,ACC 
24189799,ACC 
24191473,ACC 
24193518,ACC 
24193815,ACC 
24194207,ACC 
24195689,ACC 
24195694,ACC 
24196526,ACC 
24196539,ACC 
24196619,ACC 
24196737,ACC 
24200852,ACC 
24201975,ACC 
24201980,ACC 
24202239,ACC 
24203068,ACC 
24203151,ACC 
24203232,ACC 
24204077,ACC 
24207845,ACC 
24209156,ACC 
24209296,ACC 
24210117,ACC 
24210132,ACC 
24215317,ACC 
24216136,ACC 
24216445,ACC 
24216965,ACC 
24217140,ACC 
24218003,ACC 
24218108,ACC 
24218161,ACC 
24221222,ACC 
24223027,ACC 
24224876,ACC 
24225069,ACC 
24225903,ACC 
24230114,ACC 
24234133,ACC 
24235384,ACC 
24241626,ACC 
24247210,ACC 
24249241,ACC 
