Incident Number,Close Code
17080591,    
17287935,    
17300741,    
17029758,ABAN
17029774,ABAN
17035456,ABAN
17037889,ABAN
17048465,ABAN
17049580,ABAN
17068888,ABAN
17177344,ABAN
17184346,ABAN
17210633,ABAN
17013764,ACC 
17116869,ACC 
17001818,ACC 
17002323,ACC 
17002415,ACC 
17002424,ACC 
17002451,ACC 
17003558,ACC 
17005269,ACC 
17005386,ACC 
17006893,ACC 
17008569,ACC 
17009690,ACC 
17011100,ACC 
17011277,ACC 
17012952,ACC 
17014533,ACC 
17016211,ACC 
17019371,ACC 
17020074,ACC 
17020793,ACC 
17021082,ACC 
17021967,ACC 
17022017,ACC 
17022677,ACC 
17022860,ACC 
17023907,ACC 
17024625,ACC 
17024933,ACC 
17025503,ACC 
17030338,ACC 
17030354,ACC 
17031767,ACC 
17033410,ACC 
17033976,ACC 
17034224,ACC 
17034291,ACC 
17034326,ACC 
17035324,ACC 
17035366,ACC 
17035518,ACC 
17036009,ACC 
17036011,ACC 
17036261,ACC 
17036342,ACC 
17042406,ACC 
17045789,ACC 
17046066,ACC 
17046852,ACC 
17047812,ACC 
17047826,ACC 
17047854,ACC 
17048669,ACC 
17049200,ACC 
17049719,ACC 
17051953,ACC 
17052009,ACC 
17052418,ACC 
17053450,ACC 
17054105,ACC 
17054438,ACC 
17058403,ACC 
17060882,ACC 
17061343,ACC 
17064671,ACC 
17065388,ACC 
17066346,ACC 
17068331,ACC 
17070996,ACC 
17075957,ACC 
17076261,ACC 
17076419,ACC 
17076433,ACC 
17076766,ACC 
17077612,ACC 
17077747,ACC 
17078049,ACC 
17078884,ACC 
17081105,ACC 
17081690,ACC 
17083153,ACC 
17083169,ACC 
17084912,ACC 
17084964,ACC 
17087648,ACC 
17088284,ACC 
17092805,ACC 
17092996,ACC 
17093306,ACC 
17093634,ACC 
17094531,ACC 
17094699,ACC 
17095255,ACC 
17096417,ACC 
17099024,ACC 
17099087,ACC 
17100071,ACC 
17100775,ACC 
17100776,ACC 
17101604,ACC 
17102765,ACC 
17102893,ACC 
17103337,ACC 
17105199,ACC 
17105864,ACC 
17106119,ACC 
17106964,ACC 
17107030,ACC 
17107712,ACC 
17108900,ACC 
17109529,ACC 
17110376,ACC 
17110624,ACC 
17110960,ACC 
17111345,ACC 
17112820,ACC 
17113477,ACC 
17115568,ACC 
17117477,ACC 
17117634,ACC 
17119551,ACC 
17123300,ACC 
17128642,ACC 
17131700,ACC 
17132445,ACC 
17133134,ACC 
17133925,ACC 
17135845,ACC 
17135881,ACC 
17137120,ACC 
17138515,ACC 
17139221,ACC 
17141153,ACC 
17143347,ACC 
17143810,ACC 
17144234,ACC 
17148053,ACC 
17149646,ACC 
17149750,ACC 
17151358,ACC 
17154608,ACC 
17156350,ACC 
17158967,ACC 
17159377,ACC 
17159737,ACC 
17160797,ACC 
17161513,ACC 
17163234,ACC 
17164499,ACC 
17164512,ACC 
17165212,ACC 
17166047,ACC 
17171528,ACC 
17171571,ACC 
17171574,ACC 
17171662,ACC 
17173734,ACC 
17176904,ACC 
17181005,ACC 
17182121,ACC 
17183515,ACC 
17183805,ACC 
17184241,ACC 
17187780,ACC 
17188174,ACC 
17189855,ACC 
17192251,ACC 
17192266,ACC 
17193911,ACC 
17194150,ACC 
17196651,ACC 
17197032,ACC 
17197483,ACC 
17198137,ACC 
17200743,ACC 
17202155,ACC 
17202838,ACC 
17204400,ACC 
17205011,ACC 
17205394,ACC 
17205759,ACC 
17205920,ACC 
17209145,ACC 
17209220,ACC 
17214225,ACC 
17214281,ACC 
17218012,ACC 
17218117,ACC 
17218836,ACC 
17220214,ACC 
17221484,ACC 
