Incident Number,Close Code
25110484,    
25274703,    
25274707,    
25011520, DIS
25086948,ABAN
25088052,ABAN
25095919,ABAN
25146081,ABAN
25005269,ACC 
25005273,ACC 
25007093,ACC 
25010169,ACC 
25010555,ACC 
25011708,ACC 
25022216,ACC 
25022288,ACC 
25023829,ACC 
25030165,ACC 
25030180,ACC 
25033697,ACC 
25040420,ACC 
25042626,ACC 
25043092,ACC 
25044117,ACC 
25046358,ACC 
25047941,ACC 
25049595,ACC 
25050732,ACC 
25051950,ACC 
25055511,ACC 
25055747,ACC 
25060426,ACC 
25061190,ACC 
25061352,ACC 
25063202,ACC 
25066495,ACC 
25066506,ACC 
25070502,ACC 
25070975,ACC 
25071487,ACC 
25071759,ACC 
25073032,ACC 
25073034,ACC 
25074682,ACC 
25075056,ACC 
25075677,ACC 
25076333,ACC 
25077389,ACC 
25078306,ACC 
25079115,ACC 
25081049,ACC 
25081830,ACC 
25081835,ACC 
25082544,ACC 
25083179,ACC 
25083595,ACC 
25089056,ACC 
25090648,ACC 
25091996,ACC 
25092513,ACC 
25092978,ACC 
25096090,ACC 
25097042,ACC 
25097253,ACC 
25097301,ACC 
25097308,ACC 
25101100,ACC 
25101598,ACC 
25101803,ACC 
25102109,ACC 
25102851,ACC 
25103291,ACC 
25103318,ACC 
25106961,ACC 
25108271,ACC 
25111485,ACC 
25113299,ACC 
25113354,ACC 
25113534,ACC 
25114122,ACC 
25114639,ACC 
25114927,ACC 
25116142,ACC 
25118858,ACC 
25119438,ACC 
25119587,ACC 
25119887,ACC 
25120190,ACC 
25120305,ACC 
25120860,ACC 
25120864,ACC 
25120927,ACC 
25121208,ACC 
25122001,ACC 
25122973,ACC 
25125777,ACC 
25125801,ACC 
25125953,ACC 
25126438,ACC 
25126594,ACC 
25127004,ACC 
25133588,ACC 
25133637,ACC 
25133827,ACC 
25133837,ACC 
25137298,ACC 
25138050,ACC 
25138690,ACC 
25138887,ACC 
25139178,ACC 
25139181,ACC 
25139694,ACC 
25143299,ACC 
25144004,ACC 
25145013,ACC 
25150681,ACC 
25150877,ACC 
25152299,ACC 
25152888,ACC 
25156045,ACC 
25156656,ACC 
25157031,ACC 
25158788,ACC 
25162425,ACC 
25162601,ACC 
25163145,ACC 
25163475,ACC 
25164396,ACC 
25165136,ACC 
