Incident Number,Close Code
19195923,    
19172687, REL
19161871,ABAN
19227655,ABAN
19262825,ABAN
19299549,ABAN
19002212,ACC 
19002598,ACC 
19003439,ACC 
19003586,ACC 
19003668,ACC 
19005921,ACC 
19006060,ACC 
19009916,ACC 
19010167,ACC 
19012718,ACC 
19014007,ACC 
19014849,ACC 
19015227,ACC 
19018132,ACC 
19018279,ACC 
19018962,ACC 
19020455,ACC 
19021474,ACC 
19026798,ACC 
19026858,ACC 
19028098,ACC 
19028147,ACC 
19032802,ACC 
19033008,ACC 
19033117,ACC 
19035984,ACC 
19036158,ACC 
19036846,ACC 
19037179,ACC 
19040493,ACC 
19041148,ACC 
19042194,ACC 
19044420,ACC 
19045083,ACC 
19045846,ACC 
19046251,ACC 
19046402,ACC 
19047097,ACC 
19047195,ACC 
19053594,ACC 
19054060,ACC 
19058272,ACC 
19060509,ACC 
19061990,ACC 
19064311,ACC 
19065061,ACC 
19066214,ACC 
19066388,ACC 
19066976,ACC 
19069858,ACC 
19071437,ACC 
19071777,ACC 
19073066,ACC 
19073437,ACC 
19074303,ACC 
19076860,ACC 
19078862,ACC 
19079042,ACC 
19080971,ACC 
19081116,ACC 
19081795,ACC 
19081809,ACC 
19084668,ACC 
19087004,ACC 
19092222,ACC 
19092688,ACC 
19092875,ACC 
19094075,ACC 
19095553,ACC 
19100454,ACC 
19102847,ACC 
19102938,ACC 
19103201,ACC 
19103248,ACC 
19104285,ACC 
19104313,ACC 
19106225,ACC 
19106366,ACC 
19106967,ACC 
19107657,ACC 
19108299,ACC 
19110549,ACC 
19110630,ACC 
19112409,ACC 
19112430,ACC 
19117844,ACC 
19118384,ACC 
19122912,ACC 
19123147,ACC 
19123858,ACC 
19125144,ACC 
19125982,ACC 
19126674,ACC 
19129362,ACC 
19129379,ACC 
19131166,ACC 
19131299,ACC 
19131526,ACC 
19131993,ACC 
19132470,ACC 
19135063,ACC 
19135353,ACC 
19135445,ACC 
19135897,ACC 
19136987,ACC 
19138565,ACC 
19139912,ACC 
19140259,ACC 
19140266,ACC 
19141713,ACC 
19142263,ACC 
19143315,ACC 
19144624,ACC 
19144773,ACC 
19144926,ACC 
19145029,ACC 
19145292,ACC 
19145724,ACC 
19146042,ACC 
19146893,ACC 
19149477,ACC 
19149902,ACC 
19150986,ACC 
19153864,ACC 
19154755,ACC 
19154937,ACC 
19156781,ACC 
19158914,ACC 
19161389,ACC 
19162298,ACC 
19162347,ACC 
19163644,ACC 
19164056,ACC 
19164278,ACC 
19164396,ACC 
19165464,ACC 
19168571,ACC 
19170962,ACC 
19173584,ACC 
19175641,ACC 
19176255,ACC 
19177186,ACC 
19177543,ACC 
19178485,ACC 
19178978,ACC 
19180355,ACC 
19180368,ACC 
19180396,ACC 
19181212,ACC 
19183660,ACC 
19184039,ACC 
19184586,ACC 
19185918,ACC 
19186042,ACC 
19186908,ACC 
19188435,ACC 
19189106,ACC 
19190365,ACC 
19193417,ACC 
19196348,ACC 
19198760,ACC 
19199243,ACC 
19202480,ACC 
19204445,ACC 
19206190,ACC 
19209880,ACC 
19210070,ACC 
19211345,ACC 
19214725,ACC 
19215597,ACC 
19216398,ACC 
19219603,ACC 
19222924,ACC 
19224361,ACC 
19228835,ACC 
19230716,ACC 
19239443,ACC 
19241045,ACC 
19242628,ACC 
19242982,ACC 
19243362,ACC 
19243530,ACC 
19243618,ACC 
19247585,ACC 
19249961,ACC 
19250505,ACC 
19250811,ACC 
19251076,ACC 
19254176,ACC 
19255273,ACC 
19255541,ACC 
19256871,ACC 
19258435,ACC 
19261170,ACC 
19262266,ACC 
19263390,ACC 
19264063,ACC 
19266015,ACC 
19266063,ACC 
19269649,ACC 
19270927,ACC 
19272649,ACC 
19277630,ACC 
19280081,ACC 
19282627,ACC 
19282903,ACC 
19286686,ACC 
19290090,ACC 
19292735,ACC 
19293897,ACC 
19296758,ACC 
19297267,ACC 
19297458,ACC 
19297568,ACC 
19298178,ACC 
19298206,ACC 
19299106,ACC 
19299697,ACC 
19301780,ACC 
19306632,ACC 
19307411,ACC 
19308569,ACC 
19308619,ACC 
19309676,ACC 
19311903,ACC 
19313563,ACC 
19314192,ACC 
19315529,ACC 
19316081,ACC 
19318329,ACC 
19319276,ACC 
19320102,ACC 
19324701,ACC 
19324710,ACC 
19327994,ACC 
19328258,ACC 
19331989,ACC 
19332654,ACC 
19334716,ACC 
19139588,ACTT
19168875,ACTT
19183456,ACTT
19209098,ACTT
19000100,ADVI
19000114,ADVI
19000183,ADVI
19000395,ADVI
19000410,ADVI
19000420,ADVI
19000664,ADVI
19000929,ADVI
19000989,ADVI
19001101,ADVI
19001122,ADVI
19001271,ADVI
19001397,ADVI
19001459,ADVI
19002013,ADVI
19002167,ADVI
19002188,ADVI
19002192,ADVI
19002297,ADVI
19002350,ADVI
19002608,ADVI
19002880,ADVI
19002912,ADVI
19002999,ADVI
19003031,ADVI
19003041,ADVI
19003205,ADVI
19003371,ADVI
19003396,ADVI
19003445,ADVI
19003454,ADVI
19003597,ADVI
19003600,ADVI
19003665,ADVI
19003775,ADVI
19003787,ADVI
19003804,ADVI
19003896,ADVI
19003955,ADVI
19003978,ADVI
19004046,ADVI
19004055,ADVI
19004067,ADVI
19004074,ADVI
19004078,ADVI
19004091,ADVI
19004177,ADVI
19004210,ADVI
19004648,ADVI
19004705,ADVI
19004745,ADVI
19004929,ADVI
19005230,ADVI
19005327,ADVI
19005521,ADVI
19005719,ADVI
19005995,ADVI
19006272,ADVI
19006393,ADVI
19006459,ADVI
19006466,ADVI
19006817,ADVI
19007162,ADVI
19007198,ADVI
19007325,ADVI
19007473,ADVI
19007811,ADVI
19007839,ADVI
19007901,ADVI
19007922,ADVI
19007941,ADVI
19008121,ADVI
19008128,ADVI
19008132,ADVI
19008149,ADVI
19008178,ADVI
19008200,ADVI
19008336,ADVI
19008434,ADVI
19008470,ADVI
19008482,ADVI
19008577,ADVI
19008581,ADVI
19008690,ADVI
19008741,ADVI
19008804,ADVI
19009011,ADVI
19009069,ADVI
