Incident Number,Close Code
23148379,    
23296110,    
23296770,    
23142776,ABAN
23287502,ABAN
23295575,ABAN
23346599,ABAN
23009190,ACC 
23015116,ACC 
23020315,ACC 
23021187,ACC 
23021226,ACC 
23028461,ACC 
23033213,ACC 
23034337,ACC 
23037894,ACC 
23039685,ACC 
23039855,ACC 
23039858,ACC 
23041911,ACC 
23048262,ACC 
23054293,ACC 
23055420,ACC 
23068050,ACC 
23071185,ACC 
23073811,ACC 
23073882,ACC 
23077825,ACC 
23079990,ACC 
23083978,ACC 
23086651,ACC 
23087014,ACC 
23087128,ACC 
23092825,ACC 
23101413,ACC 
23102442,ACC 
23103692,ACC 
23106315,ACC 
23107334,ACC 
23108931,ACC 
23111045,ACC 
23111976,ACC 
23117515,ACC 
23119561,ACC 
23124813,ACC 
23125189,ACC 
23126088,ACC 
23127138,ACC 
23128695,ACC 
23128900,ACC 
23129429,ACC 
23129488,ACC 
23130313,ACC 
23133666,ACC 
23140141,ACC 
23145059,ACC 
23146169,ACC 
23146978,ACC 
23153719,ACC 
23155136,ACC 
23156821,ACC 
23157131,ACC 
23161199,ACC 
23161640,ACC 
23164661,ACC 
23167247,ACC 
23168031,ACC 
23169246,ACC 
23174596,ACC 
23174601,ACC 
23175882,ACC 
23182401,ACC 
23183361,ACC 
23192877,ACC 
23194055,ACC 
23196994,ACC 
23197365,ACC 
23201444,ACC 
23202267,ACC 
23204394,ACC 
23206740,ACC 
23211963,ACC 
23213824,ACC 
23221477,ACC 
23222302,ACC 
23231038,ACC 
23234415,ACC 
23234752,ACC 
23239798,ACC 
23245674,ACC 
23246554,ACC 
23247556,ACC 
23248438,ACC 
23252370,ACC 
23252517,ACC 
23256858,ACC 
23260856,ACC 
23263387,ACC 
23268791,ACC 
23269982,ACC 
23276506,ACC 
23276965,ACC 
23281423,ACC 
23289448,ACC 
23293465,ACC 
23311274,ACC 
23316516,ACC 
23320431,ACC 
23322156,ACC 
23327225,ACC 
23328322,ACC 
23330888,ACC 
23334249,ACC 
23334941,ACC 
23341717,ACC 
23342655,ACC 
23000080,ADVI
23000085,ADVI
23000127,ADVI
23000239,ADVI
23000294,ADVI
23000313,ADVI
23000364,ADVI
23000496,ADVI
23000559,ADVI
23000754,ADVI
23000756,ADVI
23001232,ADVI
23002199,ADVI
23002214,ADVI
23002303,ADVI
23002437,ADVI
23002615,ADVI
23002639,ADVI
23002779,ADVI
23002851,ADVI
23002879,ADVI
23003108,ADVI
23003294,ADVI
23003318,ADVI
23003446,ADVI
23003484,ADVI
23003651,ADVI
23003785,ADVI
23003879,ADVI
23003899,ADVI
23003918,ADVI
23004026,ADVI
23004074,ADVI
23004193,ADVI
23004272,ADVI
23004296,ADVI
23004321,ADVI
23004370,ADVI
23004410,ADVI
23004412,ADVI
23004452,ADVI
23004561,ADVI
23004722,ADVI
23004777,ADVI
23004965,ADVI
23005020,ADVI
23005262,ADVI
23005318,ADVI
23005321,ADVI
23005346,ADVI
23005403,ADVI
23005427,ADVI
23005455,ADVI
23005466,ADVI
23005494,ADVI
23005502,ADVI
23005619,ADVI
23005632,ADVI
23005680,ADVI
23005718,ADVI
23005939,ADVI
23006008,ADVI
23006021,ADVI
23006023,ADVI
23006092,ADVI
23006160,ADVI
23006170,ADVI
23006199,ADVI
23006201,ADVI
23006331,ADVI
23006426,ADVI
23006564,ADVI
23006584,ADVI
23006607,ADVI
23006620,ADVI
23006774,ADVI
23006929,ADVI
23007025,ADVI
23007059,ADVI
23007069,ADVI
23007117,ADVI
23007144,ADVI
23007248,ADVI
23007764,ADVI
23007781,ADVI
23007802,ADVI
23007885,ADVI
23007900,ADVI
23007933,ADVI
23008052,ADVI
23008083,ADVI
23008439,ADVI
23008470,ADVI
23008634,ADVI
23008638,ADVI
23008662,ADVI
23008803,ADVI
23008850,ADVI
23008860,ADVI
23008944,ADVI
23008989,ADVI
23009064,ADVI
23009067,ADVI
23009077,ADVI
23009159,ADVI
23009237,ADVI
23009259,ADVI
23009446,ADVI
23009570,ADVI
23009610,ADVI
23009634,ADVI
23009651,ADVI
23009820,ADVI
23009885,ADVI
23009901,ADVI
23010303,ADVI
23010372,ADVI
23010612,ADVI
23010630,ADVI
23010633,ADVI
23010640,ADVI
23010657,ADVI
23010721,ADVI
23010847,ADVI
23010997,ADVI
23011076,ADVI
23011372,ADVI
23011581,ADVI
23011659,ADVI
23011665,ADVI
23011694,ADVI
23011698,ADVI
23011707,ADVI
23011713,ADVI
23011731,ADVI
23011867,ADVI
23011980,ADVI
23012140,ADVI
23012161,ADVI
23012225,ADVI
23012265,ADVI
23012331,ADVI
23012421,ADVI
23012496,ADVI
23012506,ADVI
23012638,ADVI
23012730,ADVI
23012765,ADVI
23012811,ADVI
23012828,ADVI
23012908,ADVI
23012973,ADVI
23012999,ADVI
23013020,ADVI
23013086,ADVI
23013149,ADVI
23013245,ADVI
23013312,ADVI
23013562,ADVI
23013780,ADVI
23013805,ADVI
23013958,ADVI
23013969,ADVI
23014068,ADVI
23014105,ADVI
23014145,ADVI
23014176,ADVI
23014245,ADVI
23014304,ADVI
23014326,ADVI
23014329,ADVI
23014335,ADVI
23014349,ADVI
23014404,ADVI
23014980,ADVI
23015003,ADVI
23015017,ADVI
23015030,ADVI
23015057,ADVI
23015083,ADVI
23015107,ADVI
23015134,ADVI
23015172,ADVI
23015235,ADVI
23015248,ADVI
23015513,ADVI
23015563,ADVI
23015570,ADVI
23015622,ADVI
23015656,ADVI
23015765,ADVI
23015778,ADVI
23015819,ADVI
23015842,ADVI
23016279,ADVI
23016368,ADVI
23016428,ADVI
23016434,ADVI
23016506,ADVI
23016626,ADVI
23016819,ADVI
23016907,ADVI
23016915,ADVI
23016931,ADVI
23016948,ADVI
23017078,ADVI
23017108,ADVI
23017291,ADVI
23017480,ADVI
23017695,ADVI
23017729,ADVI
23017920,ADVI
23018133,ADVI
23018292,ADVI
23018342,ADVI
23018351,ADVI
23018396,ADVI
23018434,ADVI
23018475,ADVI
23018509,ADVI
23018563,ADVI
23018609,ADVI
23018627,ADVI
23018630,ADVI
23018631,ADVI
23018672,ADVI
23018748,ADVI
23018754,ADVI
23018775,ADVI
23018869,ADVI
23019052,ADVI
23019088,ADVI
23019134,ADVI
23019171,ADVI
23019217,ADVI
23019291,ADVI
23019411,ADVI
23019419,ADVI
23019425,ADVI
23019594,ADVI
23019614,ADVI
23019643,ADVI
23019778,ADVI
23019784,ADVI
23020044,ADVI
23020069,ADVI
23020228,ADVI
23020255,ADVI
23020555,ADVI
23020874,ADVI
23020885,ADVI
23020981,ADVI
23021054,ADVI
23021256,ADVI
23021264,ADVI
23021504,ADVI
23021554,ADVI
23021615,ADVI
23021884,ADVI
23021908,ADVI
23021919,ADVI
23021923,ADVI
23022141,ADVI
23022157,ADVI
23022179,ADVI
23022221,ADVI
23022229,ADVI
23022271,ADVI
23022369,ADVI
23022406,ADVI
23022537,ADVI
23023502,ADVI
23023531,ADVI
23023754,ADVI
23023831,ADVI
23023970,ADVI
23024162,ADVI
23024286,ADVI
23024332,ADVI
23024710,ADVI
23024714,ADVI
23024720,ADVI
23024908,ADVI
23024948,ADVI
23025019,ADVI
23025025,ADVI
23025130,ADVI
23025134,ADVI
23025225,ADVI
23025240,ADVI
23025278,ADVI
23025293,ADVI
23025415,ADVI
23025422,ADVI
23025603,ADVI
23025630,ADVI
23025658,ADVI
23025714,ADVI
23025740,ADVI
23025750,ADVI
23025799,ADVI
23025900,ADVI
23025944,ADVI
23026074,ADVI
23026316,ADVI
23026557,ADVI
23026617,ADVI
23026635,ADVI
23026646,ADVI
23026687,ADVI
23026717,ADVI
23026776,ADVI
23026783,ADVI
23026864,ADVI
23027101,ADVI
23027130,ADVI
23027144,ADVI
23027394,ADVI
23027427,ADVI
23027634,ADVI
23027668,ADVI
23027804,ADVI
23027981,ADVI
23028120,ADVI
23028172,ADVI
23028387,ADVI
23028474,ADVI
23028638,ADVI
23028736,ADVI
23028760,ADVI
23028924,ADVI
23029014,ADVI
23029071,ADVI
23029154,ADVI
23029203,ADVI
23029243,ADVI
23029290,ADVI
23029420,ADVI
23029517,ADVI
23029522,ADVI
23029585,ADVI
23030051,ADVI
23030129,ADVI
23030161,ADVI
23030242,ADVI
23030310,ADVI
23030354,ADVI
23030389,ADVI
23030417,ADVI
23030432,ADVI
23030613,ADVI
23030636,ADVI
23030736,ADVI
23030774,ADVI
23030861,ADVI
23030998,ADVI
23031086,ADVI
23031100,ADVI
23031123,ADVI
23031209,ADVI
23031424,ADVI
23031428,ADVI
23031581,ADVI
23031727,ADVI
23031775,ADVI
23031971,ADVI
23032069,ADVI
23032188,ADVI
23032402,ADVI
23032538,ADVI
23032655,ADVI
23032750,ADVI
23032809,ADVI
23032848,ADVI
23032858,ADVI
