Incident Number,Close Code
18135736,    
18050794,ABAN
18101471,ABAN
18319743,ABAN
18003644,ACC 
18005885,ACC 
18009876,ACC 
18011345,ACC 
18011516,ACC 
18017954,ACC 
18020578,ACC 
18020756,ACC 
18022004,ACC 
18022578,ACC 
18022730,ACC 
18026385,ACC 
18028042,ACC 
18029772,ACC 
18030243,ACC 
18030901,ACC 
18031415,ACC 
18031578,ACC 
18033615,ACC 
18040059,ACC 
18040635,ACC 
18040692,ACC 
18041231,ACC 
18042202,ACC 
18042230,ACC 
18043774,ACC 
18043938,ACC 
18043949,ACC 
18044611,ACC 
18046887,ACC 
18047157,ACC 
18047173,ACC 
18047726,ACC 
18049023,ACC 
18052694,ACC 
18055480,ACC 
18057963,ACC 
18060469,ACC 
18062603,ACC 
18062641,ACC 
18062684,ACC 
18063590,ACC 
18064435,ACC 
18064710,ACC 
18064783,ACC 
18070336,ACC 
18071196,ACC 
18076571,ACC 
18076791,ACC 
18077830,ACC 
18078561,ACC 
18081295,ACC 
18081842,ACC 
18081908,ACC 
18082365,ACC 
18085673,ACC 
18085960,ACC 
18088193,ACC 
18088559,ACC 
18090766,ACC 
18090805,ACC 
18093160,ACC 
18094092,ACC 
18094250,ACC 
18094896,ACC 
18095089,ACC 
18095220,ACC 
18096103,ACC 
18097701,ACC 
18097778,ACC 
18101504,ACC 
18104282,ACC 
18104524,ACC 
18106298,ACC 
18106462,ACC 
18106491,ACC 
18107393,ACC 
18107409,ACC 
18112820,ACC 
18113157,ACC 
18113293,ACC 
18114968,ACC 
18115790,ACC 
18115895,ACC 
18116261,ACC 
18118973,ACC 
18120716,ACC 
18122337,ACC 
18122739,ACC 
18123801,ACC 
18126823,ACC 
18127333,ACC 
18129717,ACC 
18129731,ACC 
18130640,ACC 
18131460,ACC 
18132783,ACC 
18135336,ACC 
18135894,ACC 
18137883,ACC 
18138579,ACC 
18139111,ACC 
18139812,ACC 
18142617,ACC 
18143318,ACC 
18144651,ACC 
18145163,ACC 
18145483,ACC 
18145766,ACC 
18145797,ACC 
18147706,ACC 
18151107,ACC 
18151339,ACC 
18153114,ACC 
18155139,ACC 
18157007,ACC 
18157009,ACC 
18158419,ACC 
18159390,ACC 
18162718,ACC 
18164767,ACC 
18167017,ACC 
18169599,ACC 
18173606,ACC 
18176091,ACC 
18176134,ACC 
18176272,ACC 
18178097,ACC 
18179526,ACC 
18181999,ACC 
18182160,ACC 
18183674,ACC 
18183888,ACC 
18187729,ACC 
18189073,ACC 
18191373,ACC 
18194899,ACC 
18195274,ACC 
18195399,ACC 
18204047,ACC 
18205358,ACC 
18205533,ACC 
18205728,ACC 
18211331,ACC 
18213157,ACC 
18215621,ACC 
18216912,ACC 
18217199,ACC 
18217559,ACC 
18217684,ACC 
18219473,ACC 
18220847,ACC 
18222451,ACC 
18223649,ACC 
18224256,ACC 
18224511,ACC 
18226527,ACC 
18228189,ACC 
18229057,ACC 
18231733,ACC 
18234938,ACC 
18238322,ACC 
18241049,ACC 
18242684,ACC 
18244941,ACC 
18249122,ACC 
18250122,ACC 
18252225,ACC 
18253314,ACC 
18253573,ACC 
18256354,ACC 
18256859,ACC 
18257303,ACC 
18258852,ACC 
18261958,ACC 
18262207,ACC 
18263260,ACC 
18265002,ACC 
18268765,ACC 
18269759,ACC 
18270593,ACC 
18271579,ACC 
18272661,ACC 
18273423,ACC 
18274489,ACC 
18275298,ACC 
18277882,ACC 
18277884,ACC 
18279002,ACC 
18280361,ACC 
18281627,ACC 
18283976,ACC 
18287278,ACC 
18289252,ACC 
18290978,ACC 
18292474,ACC 
18294169,ACC 
18294363,ACC 
18295020,ACC 
18295418,ACC 
18300799,ACC 
18301793,ACC 
18302838,ACC 
18303274,ACC 
18305533,ACC 
18308369,ACC 
18309415,ACC 
18310556,ACC 
18316287,ACC 
18319460,ACC 
18319553,ACC 
18321414,ACC 
18163049,ACTT
18000097,ADVI
18000106,ADVI
18000166,ADVI
18000209,ADVI
18000469,ADVI
18000513,ADVI
18000671,ADVI
18000821,ADVI
18000910,ADVI
18001013,ADVI
18001040,ADVI
18001099,ADVI
18001157,ADVI
18001257,ADVI
18001299,ADVI
18001389,ADVI
18001405,ADVI
18001517,ADVI
18001530,ADVI
18001552,ADVI
18001915,ADVI
18002106,ADVI
18002221,ADVI
18002241,ADVI
18002306,ADVI
18002365,ADVI
18002405,ADVI
18002602,ADVI
18002696,ADVI
18002728,ADVI
18002730,ADVI
18002781,ADVI
18002791,ADVI
18002853,ADVI
18002912,ADVI
18003139,ADVI
18003149,ADVI
18003150,ADVI
18003225,ADVI
18003278,ADVI
18003295,ADVI
18003354,ADVI
18003537,ADVI
18003697,ADVI
18003941,ADVI
18004078,ADVI
18004113,ADVI
18004115,ADVI
18004123,ADVI
18004140,ADVI
18004226,ADVI
18004257,ADVI
18004342,ADVI
18004377,ADVI
18004473,ADVI
18004542,ADVI
18004558,ADVI
18004812,ADVI
18004831,ADVI
18004884,ADVI
18004891,ADVI
18005025,ADVI
18005118,ADVI
18005456,ADVI
18005554,ADVI
18005670,ADVI
18005678,ADVI
18005715,ADVI
18005724,ADVI
18006349,ADVI
18006472,ADVI
18006539,ADVI
18006546,ADVI
18006565,ADVI
18006706,ADVI
18006714,ADVI
18006777,ADVI
18006812,ADVI
18006961,ADVI
18007172,ADVI
18007182,ADVI
18007411,ADVI
18007417,ADVI
18007744,ADVI
18007851,ADVI
18007890,ADVI
18007950,ADVI
18008014,ADVI
18008235,ADVI
18008245,ADVI
18008248,ADVI
18008251,ADVI
18008297,ADVI
18008319,ADVI
18008856,ADVI
18008932,ADVI
18008957,ADVI
18009021,ADVI
18009048,ADVI
18009287,ADVI
18009304,ADVI
18009579,ADVI
18009622,ADVI
18009768,ADVI
18009834,ADVI
18009965,ADVI
18009987,ADVI
18010052,ADVI
18010084,ADVI
18010086,ADVI
18010390,ADVI
18010474,ADVI
18010480,ADVI
18010497,ADVI
18010499,ADVI
18010560,ADVI
18010570,ADVI
18011141,ADVI
18011152,ADVI
18011240,ADVI
18011294,ADVI
18011371,ADVI
18011427,ADVI
18011485,ADVI
18011531,ADVI
18011724,ADVI
18011810,ADVI
18011816,ADVI
18011920,ADVI
18012004,ADVI
18012424,ADVI
18012784,ADVI
18012802,ADVI
18012824,ADVI
18012834,ADVI
18012955,ADVI
18012963,ADVI
18012976,ADVI
18013039,ADVI
18013067,ADVI
18013165,ADVI
18013232,ADVI
18013246,ADVI
18013334,ADVI
18013499,ADVI
18013647,ADVI
18013664,ADVI
18013698,ADVI
18013739,ADVI
18013939,ADVI
18014007,ADVI
18014296,ADVI
18014376,ADVI
18014468,ADVI
18014480,ADVI
18014510,ADVI
18014522,ADVI
18014612,ADVI
18015059,ADVI
18015304,ADVI
18015311,ADVI
18015462,ADVI
18015571,ADVI
18015586,ADVI
18015612,ADVI
18015628,ADVI
18015786,ADVI
18015831,ADVI
18015962,ADVI
18015995,ADVI
18016193,ADVI
18016226,ADVI
18016296,ADVI
18016298,ADVI
18016301,ADVI
18016364,ADVI
18016437,ADVI
18016469,ADVI
18016784,ADVI
18016817,ADVI
18016865,ADVI
18016905,ADVI
18016975,ADVI
18016979,ADVI
18017324,ADVI
18017349,ADVI
18017399,ADVI
18017422,ADVI
18017552,ADVI
18017626,ADVI
18017765,ADVI
18017791,ADVI
18017849,ADVI
18017864,ADVI
18018352,ADVI
18018367,ADVI
18018410,ADVI
18018443,ADVI
18018465,ADVI
18018491,ADVI
18018563,ADVI
18018694,ADVI
18019083,ADVI
18019316,ADVI
18019872,ADVI
18020123,ADVI
18020173,ADVI
18020374,ADVI
18020430,ADVI
18020611,ADVI
18020787,ADVI
18020841,ADVI
18020963,ADVI
18020983,ADVI
18020986,ADVI
18021053,ADVI
18021092,ADVI
18021164,ADVI
18021240,ADVI
18021282,ADVI
18021304,ADVI
18021311,ADVI
18021355,ADVI
18021401,ADVI
18021449,ADVI
18021534,ADVI
18021541,ADVI
18021627,ADVI
18021743,ADVI
18021795,ADVI
18021802,ADVI
