Incident Number,Close Code
16059321,    
16072220,    
16072806,    
16081920,    
16202719,    
16202723,    
16202725,    
16202733,    
16203503,    
16044496,ABAN
16184608,ABAN
16184722,ABAN
16192199,ABAN
16287129,ABAN
16003927,ACC 
16004267,ACC 
16005409,ACC 
16007537,ACC 
16008205,ACC 
16008321,ACC 
16008883,ACC 
16009677,ACC 
16010407,ACC 
16010426,ACC 
16011155,ACC 
16012181,ACC 
16016915,ACC 
16018341,ACC 
16019172,ACC 
16020671,ACC 
16020957,ACC 
16027178,ACC 
16028371,ACC 
16029005,ACC 
16029790,ACC 
16033219,ACC 
16033875,ACC 
16034624,ACC 
16034736,ACC 
16035009,ACC 
16036311,ACC 
16037236,ACC 
16037264,ACC 
16038275,ACC 
16040700,ACC 
16042951,ACC 
16043050,ACC 
16044216,ACC 
16046501,ACC 
16047760,ACC 
16050087,ACC 
16050469,ACC 
16051962,ACC 
16053666,ACC 
16053676,ACC 
16054194,ACC 
16055694,ACC 
16055816,ACC 
16061096,ACC 
16061179,ACC 
16062432,ACC 
16065140,ACC 
16068907,ACC 
16072434,ACC 
16072988,ACC 
16073522,ACC 
16077516,ACC 
16082537,ACC 
16082851,ACC 
16082935,ACC 
16083986,ACC 
16084923,ACC 
16088606,ACC 
16089373,ACC 
16089838,ACC 
16090842,ACC 
16093094,ACC 
16094326,ACC 
16094447,ACC 
16094591,ACC 
16096072,ACC 
16096819,ACC 
16099706,ACC 
16100522,ACC 
16100568,ACC 
16102457,ACC 
16104759,ACC 
16105689,ACC 
16106790,ACC 
16107464,ACC 
16107633,ACC 
16107637,ACC 
16109048,ACC 
16109563,ACC 
16110815,ACC 
16112300,ACC 
16113767,ACC 
16114891,ACC 
16114909,ACC 
16115692,ACC 
16115856,ACC 
16116317,ACC 
16116590,ACC 
16116982,ACC 
16118655,ACC 
16120682,ACC 
16120964,ACC 
16122116,ACC 
16122128,ACC 
16123018,ACC 
16123389,ACC 
16123696,ACC 
16124674,ACC 
16125385,ACC 
16126035,ACC 
16127792,ACC 
16129918,ACC 
16129958,ACC 
16130656,ACC 
16132588,ACC 
16134251,ACC 
16134723,ACC 
16135057,ACC 
16135715,ACC 
16136150,ACC 
16136473,ACC 
16136526,ACC 
16136802,ACC 
16136931,ACC 
16136999,ACC 
16137096,ACC 
16138750,ACC 
16139527,ACC 
16141191,ACC 
16141217,ACC 
16142079,ACC 
16142151,ACC 
16142892,ACC 
16143083,ACC 
16143185,ACC 
16144100,ACC 
16146533,ACC 
16147359,ACC 
16147586,ACC 
16148165,ACC 
16149412,ACC 
16150048,ACC 
16150343,ACC 
16150553,ACC 
16151360,ACC 
16151600,ACC 
16151751,ACC 
16152016,ACC 
16152778,ACC 
16153354,ACC 
16153405,ACC 
16154671,ACC 
16154703,ACC 
16156068,ACC 
16157047,ACC 
16157088,ACC 
16157273,ACC 
16157306,ACC 
16157456,ACC 
16157755,ACC 
16158570,ACC 
16159532,ACC 
16160256,ACC 
16160543,ACC 
16160792,ACC 
16161698,ACC 
16161790,ACC 
16162572,ACC 
16162859,ACC 
16163308,ACC 
16163351,ACC 
16164701,ACC 
